Nama,Latitude,Longitude,Tipe,Deskripsi
Lawang Sewu,-6.9840,110.4105,Wisata Sejarah,Bangunan bersejarah peninggalan Belanda dengan banyak pintu.
Simpang Lima,-6.9929,110.4200,Landmark,"Alun-alun pusat kota Semarang, tempat berkumpul populer."
Masjid Agung Jawa Tengah,-6.9892,110.4452,Tempat Ibadah,Masjid besar dengan arsitektur megah dan menara pandang Asmaul Husna.
Klenteng Sam Poo Kong,-6.9980,110.4030,Tempat Ibadah,Klenteng bersejarah peninggalan Laksamana Cheng Ho.
Brown Canyon,-7.0375,110.4875,Wisata Alam,"Tebing bekas penambangan galian C yang unik menyerupai Grand Canyon."
Lumpia Gang Lombok,-6.9718,110.4255,Kuliner,Salah satu tempat makan lumpia legendaris dan otentik di Semarang.
Kota Lama,-6.9690,110.4250,Wisata Sejarah,"Kawasan cagar budaya dengan bangunan-bangunan kuno bergaya Eropa."
Pantai Marina,-6.9585,110.3875,Wisata Alam,Kawasan pantai rekreasi di bagian utara kota.
Kampoeng Kopi Banaran,-7.2780,110.4010,Wisata Alam,"Agrowisata kebun kopi dengan pemandangan dan restoran."
Toko Oen,-6.9715,110.4235,Kuliner,Restoran dan toko es krim legendaris sejak zaman kolonial.
Museum Ronggowarsito,-6.9869,110.4074,Museum,"Museum terbesar di Jawa Tengah, menyimpan koleksi arkeologi, sejarah, dan kebudayaan."
Taman Indonesia Kaya,-6.9844,110.4198,Taman Kota,"Taman kota modern di pusat Semarang, dilengkapi air mancur dan panggung pertunjukan."
Kantor Gubernur Jawa Tengah,-6.9825,110.4104,Kantor Pemerintahan,Kantor resmi Gubernur Jawa Tengah yang berada di kawasan Simpang Lima.
Balai Kota Semarang,-6.9714,110.4263,Kantor Pemerintahan,"Pusat pemerintahan Kota Semarang, terletak di kawasan Kota Lama."
Museum Kereta Api Ambarawa,-7.2665,110.4012,Museum,"Museum kereta api bersejarah dengan lokomotif uap antik, terletak di Ambarawa."
Taman KB Semarang,-6.9891,110.4183,Taman Kota,"Taman kota yang asri di pusat kota, populer untuk rekreasi keluarga dan jogging."
